PW003,Birthday Party 01,"1,850,000 VND","+ Khai vị: Gỏi bò Thái Lan; Súp cua nấm tuyết; Đồ nguội (chả giò + nem chua)+ Món chính: Gà quay + xôi lá dứa; Bò né khổ qua; Lẩu thái+ Tráng miệng: Sâm bổ lượng"
PW006,Meeting Party,"1,950,000 VND","+ Khai vị: Súp bào ngư nấm; Nem công + chả phụng; Gỏi bò ớt chuông+ Món chính: Gà bó xôi nguyên con; Đậu hủ hải sản giấy bạc; Lẩu uyên ương+ Tráng miệng: Rau câu sơn thủy"
PW002,Company Year End Party,"2,085,000 VND","+ Khai vị: Súp cua gà xé; Gỏi ngó sen tôm thịt; Chả giò hải sản+ Món chính: Cá hồi sốt bơ tỏi; Bò lúc lắc khoai tây; Lẩu riêu cua bắp bò+ Tráng miệng: Chè khúc bạch"
PW010,Wedding Menu 01,"2,500,000 VND","+ Khai vị: Gỏi hải sản Thái; Súp vi cá; Chả tôm cuốn mía+ Món chính: Tôm hùm bỏ lò phô mai; Bò nấu tiêu xanh; Lẩu hải sản+ Tráng miệng: Bánh flan trái dừa"
PW011,Wedding Menu 02,"2,650,000 VND","+ Khai vị: Súp bào ngư; Gỏi bò bóp thấu; Nem hải sản+ Món chính: Cá mú hấp HongKong; Gà hấp nấm đông cô; Lẩu gà ớt hiểm+ Tráng miệng: Trái cây tổng hợp"
PW015,Family Gathering,"1,780,000 VND","+ Khai vị: Gỏi xoài tôm khô; Súp cua măng tây; Chả giò chiên+ Món chính: Heo quay giòn bì; Cá diêu hồng chiên xù; Lẩu cá bớp măng chua+ Tráng miệng: Chè đậu xanh hạt sen"
PW018,New Year Feast,"2,200,000 VND","+ Khai vị: Gỏi củ hủ dừa tôm thịt; Súp gà ngô non; Nem rán+ Món chính: Vịt quay Bắc Kinh; Tôm càng nướng muối ớt; Lẩu kim chi hải sản+ Tráng miệng: Bánh tuyết yến mạch"
PW020,VIP Party,"3,100,000 VND","+ Khai vị: Tôm hùm sashimi; Súp cua bào ngư; Gỏi cá hồi+ Món chính: Bò Wagyu nướng đá; Cá tuyết Nhật sốt teriyaki; Lẩu hải sản cao cấp+ Tráng miệng: Kem dừa non"
PW022,Mid-Autumn Party,"1,650,000 VND","+ Khai vị: Gỏi ngó sen tai heo; Súp bí đỏ tôm; Chả mực Hạ Long+ Món chính: Gà hấp lá chanh; Cá chép om dưa; Lẩu nấm hải sản+ Tráng miệng: Bánh trung thu nhân thập cẩm"
PW025,Student Graduation Party,"1,500,000 VND","+ Khai vị: Gỏi bắp chuối tai heo; Súp gà nấm đông cô; Chả ram tôm đất+ Món chính: Cá basa kho tộ; Thịt kho trứng; Lẩu chua cá lóc+ Tráng miệng: Rau câu dừa"
